-5.410,-3.674,334.466,259154333,-0.172,-1.686,10.058,259108331,1.222,-1.356,0.384,259131334
-3.283,-7.721,335.808,259223333,0.598,-0.958,9.814,259177333,0.681,-1.185,0.443,259200332
-2.645,-10.011,336.116,259269334,1.031,-0.653,10.131,259223333,0.504,-1.036,0.180,259246333
-1.555,-11.277,335.867,259315334,1.668,-0.472,9.631,259292334,0.475,-0.527,-0.074,259315334
1.334,-11.346,335.071,259384334,2.069,-0.326,9.455,259338332,0.673,-0.078,-0.231,259361332
2.511,-9.963,334.874,259453331,2.271,0.156,9.717,259407333,0.436,0.357,-0.066,259430335
1.249,-7.465,333.764,259499333,2.017,0.490,9.806,259453331,-0.082,0.724,-0.302,259476331
-1.078,-3.313,332.888,259545334,1.530,0.264,9.892,259522336,-0.871,1.490,-0.378,259545334
-3.851,12.015,330.913,259614335,0.575,0.142,9.745,259568333,-1.035,2.875,-0.305,259591334
-2.558,25.909,330.807,259683333,-1.821,-1.241,9.717,259637334,-0.057,4.196,-0.051,259660335
0.036,33.971,331.523,259729337,-3.524,-0.983,9.212,259683333,0.577,3.349,0.272,259706332
1.188,43.498,331.051,259775333,-5.959,0.058,8.273,259752345,0.623,3.783,-0.073,259775333
0.751,52.490,331.472,259844333,-6.796,-0.275,7.251,259798333,-0.024,2.794,-0.000,259821334
2.820,57.414,333.366,259890343,-8.139,0.050,5.435,259867334,0.227,2.506,0.277,259867334
4.184,61.742,335.303,259959334,-8.572,0.044,4.399,259913334,-0.063,1.430,0.243,259936333
4.820,64.013,336.380,260005334,-9.091,0.342,4.066,259959334,-0.120,0.964,0.153,260005334
7.082,67.716,338.643,260074333,-9.381,0.384,3.346,260028334,0.028,1.012,0.147,260051334
8.320,69.371,340.411,260143333,-9.322,0.340,2.669,260097332,-0.085,0.565,0.143,260120338
7.563,69.089,339.996,260189335,-9.548,0.577,2.362,260143333,-0.175,0.089,0.039,260166334
5.006,66.332,337.686,260235332,-9.596,0.479,2.297,260212333,-0.181,-0.614,-0.136,260212333
0.684,60.285,333.942,260304332,-9.543,0.567,2.743,260258332,-0.291,-1.676,-0.359,260281343
-0.534,56.698,332.846,260350332,-9.065,0.269,4.030,260327338,-0.197,-1.822,-0.333,260327338
-2.267,50.632,331.298,260418333,-8.595,0.007,4.921,260372334,-0.130,-1.719,-0.273,260395337
-2.342,46.001,330.952,260464332,-7.853,-0.264,5.922,260441333,-0.065,-1.937,-0.223,260441333
-0.845,38.226,331.115,260533334,-7.356,-0.304,6.623,260487332,0.189,-2.132,-0.165,260510333
0.463,33.055,330.958,260579334,-6.505,-0.148,7.651,260556334,0.388,-2.058,-0.043,260556334
3.703,23.493,331.246,260648333,-5.710,0.041,7.988,260602333,0.786,-2.368,0.057,260625334
6.284,17.924,331.366,260694334,-4.714,0.308,8.666,260648333,0.809,-2.676,0.220,260671333
8.067,10.803,330.928,260763334,-3.184,0.893,9.136,260717333,0.517,-2.292,0.147,260740333
9.578,6.615,329.380,260809333,-1.977,1.466,9.868,260786333,0.697,-1.773,-0.135,260786333
11.811,-0.448,327.953,260878332,-1.026,1.650,9.872,260832332,0.523,-2.241,0.052,260855333
13.534,-1.374,327.128,260924334,0.462,2.407,9.968,260901333,0.639,-1.107,-0.345,260901333
13.892,-2.583,327.189,260993335,0.691,2.243,9.451,260947333,0.253,-0.343,-0.061,260970333
